Route,Airline,Manufacturer,Distance,DestState,DestLong,DestAirport,DestLat,OriginLong,OriginAirport,OriginState,OriginLat,Flights,DestCity,OriginCity
CLE-DFW,Expressjet Airlines Inc.,EMBRAER,1021,OH,-81.849395752,Cleveland-Hopkins Intl,41.4108924866,-97.0372009277,Dallas-Fort Worth International,TX,32.8959503174,1106,Cleveland,Dallas-Fort Worth
CLE-DFW,American Eagle Airlines Inc.,EMBRAER,1021,OH,-81.849395752,Cleveland-Hopkins Intl,41.4108924866,-97.0372009277,Dallas-Fort Worth International,TX,32.8959503174,10,Cleveland,Dallas-Fort Worth
DTW-SRQ,Northwest Airlines Inc.,BOEING,1023,FL,-82.554107666,Sarasota Bradenton International,27.3953342438,-83.3488388062,Detroit Metropolitan-Wayne County,MI,42.212059021,1,Sarasota,Detroit
DTW-SRQ,Northwest Airlines Inc.,MCDONNELL DOUGLAS,1023,FL,-82.554107666,Sarasota Bradenton International,27.3953342438,-83.3488388062,Detroit Metropolitan-Wayne County,MI,42.212059021,16,Sarasota,Detroit
DTW-SRQ,Northwest Airlines Inc.,AIRBUS,1023,FL,-82.554107666,Sarasota Bradenton International,27.3953342438,-83.3488388062,Detroit Metropolitan-Wayne County,MI,42.212059021,269,Sarasota,Detroit
DTW-SRQ,AirTran Airways Corporation,BOEING,1023,MI,-83.3488388062,Detroit Metropolitan-Wayne County,42.212059021,-82.554107666,Sarasota Bradenton International,FL,27.3953342438,152,Detroit,Sarasota
DEN-SDF,Skywest Airlines Inc.,BOMBARDIER INC,1023,KY,-85.736000061,Louisville International-Standiford,38.1743888855,-104.666999817,Denver Intl,CO,39.8584098816,1,Louisville,Denver
DEN-SDF,Frontier Airlines Inc.,AIRBUS,1023,KY,-85.736000061,Louisville International-Standiford,38.1743888855,-104.666999817,Denver Intl,CO,39.8584098816,767,Louisville,Denver
GRR-MCO,Northwest Airlines Inc.,MCDONNELL DOUGLAS,1023,FL,-81.3160247803,Orlando International,28.4288883209,-85.5227661133,Kent County International,MI,42.880821228,235,Orlando,Grand Rapids
DEN-SEA,Alaska Airlines Inc.,MCDONNELL DOUGLAS,1024,CO,-104.666999817,Denver Intl,39.8584098816,-122.309310913,Seattle-Tacoma Intl,WA,47.4489822388,346,Denver,Seattle
DEN-SEA,Frontier Airlines Inc.,AIRBUS,1024,WA,-122.309310913,Seattle-Tacoma Intl,47.4489822388,-104.666999817,Denver Intl,CO,39.8584098816,2982,Seattle,Denver
